grid_id,n_reaches,total_length_km,max_seg_length_km,main_hyriv_id,main_length_km,main_length_frac,n_exit_reaches,n_exit_downstream_cells,in_china,next_grid_id,has_next,rank_by
2921158,27,47.52546458535441,4.363360188411425,40718161,4.363360188411425,0.0918109949367239,3,2,True,2911158.0,True,n_reaches
2900938,27,47.460735938044024,7.093852752864586,40729392,7.093852752864586,0.14946782034996275,3,1,True,2910938.0,True,n_reaches
2940944,27,46.786333939354925,6.3721976227295904,40709932,6.3721976227295904,0.1361978399715891,4,2,True,2940945.0,True,n_reaches
2520980,27,46.737613545915856,3.089105944042636,40959366,3.089105944042636,0.06609464432769645,5,3,True,2520981.0,True,n_reaches
2920946,27,44.59879160758313,3.8549312204694886,40717906,3.8549312204694886,0.08643577732751923,2,2,True,2920947.0,True,n_reaches
2841132,27,41.58106274273539,3.8141503795142273,40763309,3.8141503795142273,0.09172806388120987,2,2,True,2831132.0,True,n_reaches
2860966,27,38.57100145371452,3.486052160924427,40747798,3.486052160924427,0.09038013091539027,4,4,True,2870967.0,True,n_reaches
2261024,27,38.417657602770696,3.174741849180875,41096626,3.174741849180875,0.08263756947409286,1,1,True,2261023.0,True,n_reaches
2541114,27,36.98599212419046,4.340681527363336,40944148,4.340681527363336,0.11736014847968186,3,2,True,2551114.0,True,n_reaches
2201122,26,60.420626000210646,7.563741485767021,41127666,7.563741485767021,0.12518475869052814,2,1,True,2201121.0,True,n_reaches
4480928,26,57.82105084967816,7.699607575638433,40192543,7.699607575638433,0.1331627056667596,2,1,True,4480927.0,True,n_reaches
2301144,26,55.528060661466476,7.976093465209069,41079133,7.976093465209069,0.14364077135407782,1,1,True,2311143.0,True,n_reaches
2440984,26,54.89795677350015,6.77660009625725,41004838,6.77660009625725,0.12343993282329936,6,3,True,2430984.0,True,n_reaches
3380870,26,54.17730234394002,7.324276668917459,40552501,7.324276668917459,0.13519087056826692,0,0,True,-1.0,False,n_reaches
2521100,26,53.94468054299947,7.760782439854841,40960409,7.760782439854841,0.14386557417220588,3,1,True,2511100.0,True,n_reaches
2341158,26,53.771382994998135,4.831018813017146,41057478,4.831018813017146,0.08984367788097494,2,1,True,2341159.0,True,n_reaches
2401130,26,52.89217011543758,7.480665842421103,41025401,7.480665842421103,0.1414323864211752,2,1,True,2401131.0,True,n_reaches
2501146,26,52.120413317490815,7.132808489430206,40971373,7.132808489430206,0.13685249282235729,2,2,True,2501147.0,True,n_reaches
2581160,26,51.45464751317555,6.24473005388303,40923724,6.24473005388303,0.12136377092630934,1,1,True,2581159.0,True,n_reaches
2401086,26,51.44458829458763,6.07453562532121,41026009,6.07453562532121,0.11807919601837494,2,1,True,2391086.0,True,n_reaches
2841168,26,50.751737945662505,4.896341447912583,40759005,4.896341447912583,0.09647633058704048,3,2,True,2841167.0,True,n_reaches
2981186,26,50.32046632921789,4.984820360865321,40691886,4.984820360865321,0.0990614897773901,1,1,True,2971186.0,True,n_reaches
2201104,26,49.6204132987708,4.222248411222544,41127649,4.222248411222544,0.08509095613129723,2,1,True,2191104.0,True,n_reaches
2821110,26,49.474784350513694,4.122545976944605,40772455,4.122545976944605,0.08332620406665402,1,1,True,2831111.0,True,n_reaches
3021174,26,49.154782286419696,4.342623474148704,40672956,4.342623474148704,0.0883458998728689,1,1,True,3031174.0,True,n_reaches
2241082,26,48.779684464852835,5.1460696264787815,41106672,5.1460696264787815,0.10549616470329308,2,1,True,2251082.0,True,n_reaches
2541116,26,47.59675617734941,7.397655472384232,40946612,7.397655472384232,0.15542352182194857,3,3,True,2551116.0,True,n_reaches
2661158,26,47.548649629162966,6.065997671659029,40876954,6.065997671659029,0.1275745519371927,2,2,True,2671158.0,True,n_reaches
3021178,26,47.48038826454714,4.916188015908911,40672957,4.916188015908911,0.10354144512292776,4,3,True,3021179.0,True,n_reaches
2621166,26,47.471445378580675,4.8402831346637685,40901412,4.8402831346637685,0.10196199201568287,1,1,True,2621167.0,True,n_reaches
2381086,26,46.936268097404565,6.9050479058538725,41037780,6.9050479058538725,0.14711540106947066,4,2,True,2381087.0,True,n_reaches
2861182,26,46.50554162856655,4.576933198541006,40750619,4.576933198541006,0.09841694211619662,2,1,True,2861181.0,True,n_reaches
2401098,26,45.54677181100355,4.326403259902754,41026905,4.326403259902754,0.09498814269110391,2,2,True,2411097.0,True,n_reaches
2630986,26,45.394284561767606,6.808735869344407,40896326,6.808735869344407,0.14999103819071802,1,1,True,-1.0,False,n_reaches
2860938,26,45.29592697408092,8.444878397168537,40750954,8.444878397168537,0.1864379197273264,4,2,True,2860939.0,True,n_reaches
2441106,26,43.84920086716645,3.8091046709926153,41004896,3.8091046709926153,0.0868682802802185,3,2,True,2431107.0,True,n_reaches
2740986,26,43.58032085400135,4.475400941549082,40824677,4.475400941549082,0.10269316181820104,2,1,True,2730986.0,True,n_reaches
2361130,26,42.94000367773969,4.625473519470353,41047346,4.625473519470353,0.10771944860983376,4,2,True,2351129.0,True,n_reaches
2940954,26,42.192573738882636,4.467266230854006,40710114,4.467266230854006,0.10587802153290282,3,3,True,2940953.0,True,n_reaches
3001036,26,41.643523714134645,5.313945958836504,40684333,5.313945958836504,0.1276055790887082,3,3,True,3001037.0,True,n_reaches
2841178,26,41.38913888746548,5.197104026465774,40758769,5.197104026465774,0.12556685560906158,6,2,True,2841179.0,True,n_reaches
2321128,26,41.34202695379817,4.289497260823143,41066506,4.289497260823143,0.10375633651482247,2,2,True,2311128.0,True,n_reaches
2920948,26,41.054957819582185,3.722499175109435,40719203,3.722499175109435,0.09067112409341939,2,1,True,2920949.0,True,n_reaches
2900968,26,39.5057375783826,6.937943798739829,40728133,6.937943798739829,0.1756186372922258,2,2,True,2890967.0,True,n_reaches
2221124,26,36.17249965177861,3.951653118205802,41117453,3.951653118205802,0.10924467914153393,8,4,True,2221125.0,True,n_reaches
2480976,26,35.77829502233238,3.1182271315332026,40979999,3.1182271315332026,0.08715415671950949,3,2,True,2480977.0,True,n_reaches
2661156,25,59.95652817342358,6.11124997259232,40874872,6.11124997259232,0.10192801616056886,1,1,True,2671155.0,True,n_reaches
2421136,25,59.58005606250027,4.618857369828611,41013990,4.618857369828611,0.07752354856771816,2,2,True,2411135.0,True,n_reaches
2561002,25,57.9577814554632,5.685933018880851,40937054,5.685933018880851,0.09810473893397942,1,1,True,2551002.0,True,n_reaches
